Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.482890926,2.584869584,2.690973766,2.800952465,2.929934072,3.078800558,3.234860955,3.396778917,3.574487035,3.778564861,4.004198906,4.360699865,4.735962567,5.120926913,5.491673275,5.855878134,6.042650117,6.241924262,6.440610286,6.647215739,6.850705538,6.985652253,7.107343712,7.194418096,7.269717996,7.317614953,7.38139327,7.455565798,7.53286727,7.609123083,7.655794944,7.392219368,7.173737818,7.016164625,6.929595828,6.912006374,6.986778846,7.090613334,7.229854372,7.390596034,7.580377093,7.757971108,7.955406771,8.167640723,8.38287572,8.591336686,8.91861872,9.229218944,9.548333629,9.891084717,10.28828847,10.58346236,10.92043682,11.29809323,11.70717135,12.1371273,12.60488977,13.07347721,13.55094714,14.05835544,
Afghanistan,AFG,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.798307831,2.808130512,2.804113291,2.786170893,2.754223004,2.708892442,2.718382881,2.716105865,2.701215552,2.672957476,2.631612862,2.635235496,2.627456119,2.609505042,2.583511575,2.551445486,2.558352938,2.549321988,2.524600864,2.485762493,2.434752609,2.452756001,2.446848941,2.41337148,2.346739983,2.239398074,2.271446269,2.294741004,2.302779178,2.285279391,2.232542086,2.242331144,2.25936254,2.283410667,2.317880814,2.368318278,2.369382304,2.358940062,2.34152651,2.319288177,2.291944549,2.271866861,2.25584792,2.243148067,2.233425234,2.227488227,2.251821196,2.270637747,2.287167908,2.305590109,2.328131562,2.354461852,2.386293853,2.420207459,2.451574871,2.478662289,2.519922544,2.55425147,2.58492694,2.615794214,
Angola,AGO,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,3.006948023,3.04512072,3.064487917,3.071349414,3.070682631,3.061881235,3.032010232,2.98096218,2.895115645,2.768412342,2.607529415,2.643004368,2.665273491,2.675619774,2.676287977,2.669219818,2.645288302,2.620957599,2.598390621,2.578819461,2.563236929,2.57372131,2.581283264,2.583396421,2.576456974,2.559677543,2.545234252,2.520962649,2.494694187,2.47529917,2.466968919,2.481741015,2.499651191,2.517176035,2.530393971,2.537904424,2.556636235,2.566985194,2.570919648,2.570589068,2.566879284,2.574733622,2.576906526,2.571324338,2.554735556,2.526356154,2.503709572,2.470528735,2.432051536,2.394426897,2.360756091,2.347429742,2.336002915,2.322782468,2.303043908,2.275861888,2.261018458,2.239196565,2.216373648,2.19934175,
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,5.410827033,5.390892655,5.405406961,5.435019963,5.456234806,5.457788353,5.403602984,5.337062349,5.270811679,5.219959338,5.193036522,5.181208334,5.17773294,5.181004991,5.187536617,5.195768021,5.216628269,5.238050808,5.259420487,5.279647422,5.29841316,5.326657474,5.351013789,5.371491361,5.386207277,5.394636175,5.407770549,5.41125555,5.416846169,5.441162703,5.494978353,5.648770956,5.827499795,6.025915757,6.230599593,6.432480462,6.563784813,6.682599124,6.797480424,6.920844385,7.058160712,7.314589495,7.592252159,7.887145156,8.191170579,8.500717569,8.905554353,9.321660726,9.750595968,10.1923346,10.64540541,11.01498604,11.38751091,11.77078921,12.1806923,12.62654761,12.95621108,13.3290733,13.74473591,14.20263062,
Andorra,AND,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,3.507921717,3.539325777,3.564483372,3.583551178,3.596392823,3.603237753,3.62207553,3.633815113,3.640597658,3.644679359,3.647621867,3.665127109,3.679669972,3.689119337,3.690430961,3.68274143,3.679935875,3.668579798,3.651777361,3.633180887,3.615274675,3.608656042,3.599763791,3.590041962,3.58101598,3.574171756,3.580382347,3.588429003,3.599562184,3.614930145,3.621897435,3.659456994,3.716291536,3.754347758,3.794428292,3.82149869,3.867143844,3.909496419,3.949105049,3.98529535,4.018085025,4.046713194,4.071438994,4.091577541,4.105225799,4.112447622,4.121405909,4.122619543,4.121297,4.123422043,4.133051273,4.152697432,4.1752511,4.204197682,4.244906485,4.301047273,4.374558932,4.461559502,4.557876409,4.657837545,
United Arab Emirates,ARE,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,3.434395897,3.17968967,2.94867907,2.728362503,2.513057904,2.286179491,2.081562234,1.890782289,1.717161208,1.564700206,1.437440835,1.213820543,1.155679902,1.213813656,1.337252461,1.490969376,1.455193582,1.447621793,1.457316986,1.462196364,1.447363388,1.40943453,1.346490317,1.283152307,1.238203947,1.216984198,1.190696774,1.183082758,1.188028021,1.19604956,1.20009932,1.176262278,1.146188473,1.113320409,1.082076461,1.054329238,1.053157661,1.067582754,1.087261758,1.097897057,1.092575705,1.040839381,0.990290553,0.94584168,0.911769983,0.887598145,0.803275515,0.747336857,0.71218129,0.692843534,0.685591606,0.742010223,0.802584144,0.859847509,0.904703894,0.933368599,0.986990678,1.034677976,1.085000985,1.156549456,
Argentina,ARG,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,5.531877871,5.66979833,5.804779377,5.938941906,6.074267707,6.212241619,6.368354988,6.520953798,6.668958019,6.810670523,6.945485912,7.091682327,7.224748942,7.346846592,7.459902879,7.56504657,7.697767203,7.817452033,7.925639389,8.024710098,8.117497633,8.197790181,8.278094867,8.35739892,8.432505491,8.502996017,8.609932244,8.695750746,8.76965636,8.843614376,8.922392284,9.032020315,9.141749524,9.247199693,9.340259966,9.418177872,9.507355281,9.582813724,9.644607302,9.692795869,9.728636929,9.781623672,9.815213195,9.838287614,9.861495275,9.891378462,9.942008474,9.995324347,10.05387953,10.11969581,10.19502466,10.29700754,10.40101452,10.50734157,10.61640066,10.72881571,10.85997758,10.98970711,11.11778888,11.24310827,
Armenia,ARM,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,6.348095987,6.10066897,5.876261367,5.683107927,5.531605813,5.428117789,5.40286305,5.417063717,5.458442084,5.508606017,5.557236478,5.636880204,5.685711979,5.71821736,5.752937902,5.797351628,5.867290702,5.944776885,6.005370624,6.014248753,5.959505174,5.879331507,5.751154856,5.605980371,5.484327211,5.410798755,5.348699276,5.316188227,5.334698754,5.434424232,5.632118968,6.075273204,6.622135304,7.231763,7.833528796,8.381468215,8.78180531,9.087038383,9.346357481,9.641044965,10.01576432,10.43033913,10.91629537,11.39604868,11.74711403,11.89999963,11.90495104,11.73190644,11.45380858,11.18291938,10.99384531,10.86486603,10.81125873,10.8129244,10.83934296,10.87739651,10.97872277,11.09664489,11.25381766,11.48366772,
American Samoa,ASM,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,4.237867396,4.205378084,4.170770581,4.114493316,4.043996461,3.983099935,3.985646332,3.987524698,3.968266662,3.948072384,3.931314957,4.120763864,4.287964075,4.428908091,4.538973384,4.612684483,4.824666891,5.020994546,5.198594365,5.347688533,5.482906328,5.71197411,5.942148627,6.163108745,6.363901207,6.56944939,6.841662079,7.122834875,7.416101407,7.692555799,7.961233367,7.862136443,7.74301624,7.599920945,7.450449378,7.288481142,7.186524732,7.056789022,6.911668305,6.750676273,6.578878131,6.610371445,6.665815186,6.742749054,6.848735312,6.980912048,7.010543625,7.053769071,7.125543052,7.224540613,7.357886127,7.475378979,7.618710527,7.784431138,7.961150364,8.156809097,8.360574227,8.575231069,8.79982552,9.054964064,
Australia,AUS,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,8.610617613,8.630203592,8.640326692,8.64249531,8.635085083,8.618688178,8.543411677,8.461122224,8.37843035,8.303780105,8.243892731,8.345744649,8.441925131,8.540400486,8.652742957,8.785701715,8.937622289,9.117669849,9.308300047,9.481558315,9.623779981,9.782122416,9.894376905,9.98633663,10.09543696,10.24051654,10.37846727,10.54506139,10.7255206,10.89919947,11.05874988,11.2564488,11.43516962,11.59380351,11.73354832,11.85705678,11.96580271,12.05933101,12.1434629,12.22798199,12.32367377,12.41530462,12.51592156,12.62689074,12.74558218,12.87112447,12.92659959,12.98192935,13.05873886,13.18565421,13.37655581,13.63030821,13.93028835,14.25265706,14.56531719,14.85461069,15.1411186,15.40402089,15.65647523,15.92120175,
Austria,AUT,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,12.15172444,12.33807453,12.52980194,12.72161759,12.90754209,13.08719127,13.30244932,13.49722752,13.67199676,13.82894975,13.97068401,14.17440804,14.34853202,14.49787796,14.62469956,14.72878773,14.93731832,15.12129258,15.25339225,15.28634461,15.19540978,15.06867041,14.81265705,14.50494811,14.25797587,14.13625292,14.18637702,14.35253933,14.5800539,14.7856938,14.92147346,15.08034337,15.17326224,15.21099745,15.21311444,15.18985758,15.24527171,15.27790296,15.30337456,15.3368733,15.38990611,15.5200557,15.65033834,15.79435391,15.97298463,16.19731876,16.48997513,16.8229161,17.17351201,17.50523101,17.7983838,18.05310013,18.27449444,18.47297903,18.65961774,18.84047768,18.90914695,18.95657332,19.00156646,19.07560629,
Azerbaijan,AZE,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,5.383995521,5.293993879,5.227181304,5.178526611,5.142093219,5.115828497,5.119746319,5.139797369,5.166774457,5.186056503,5.191038727,5.204397514,5.186227674,5.15177413,5.121945012,5.105925434,5.117373504,5.13979559,5.155838652,5.1385943,5.077264775,5.026135669,4.939087838,4.833643286,4.731744831,4.646013086,4.600697723,4.560462779,4.540852696,4.563945995,4.641227289,4.75132469,4.895752447,5.051561947,5.193885556,5.313279379,5.446363865,5.550383892,5.640692849,5.738226593,5.849897221,6.062131693,6.2783517,6.464693313,6.574394013,6.585888444,6.534582381,6.411169428,6.243708111,6.065805297,5.898281764,5.818642015,5.746483531,5.696668509,5.689117451,5.736523206,5.835522707,5.989688502,6.195182751,6.44638912,
Burundi,BDI,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.935310794,2.959678703,2.974800512,2.981351877,2.980514095,2.972357297,2.989506354,2.998384984,2.99940634,2.99325933,2.98171295,3.054280216,3.121076314,3.181858276,3.233600197,3.272167701,3.26415303,3.245214292,3.216977535,3.181129503,3.137446486,3.119216598,3.093025953,3.05714266,3.011034379,2.956068583,2.92704159,2.891028653,2.849827945,2.80444818,2.755638627,2.730009348,2.69443758,2.649889541,2.59821762,2.541054073,2.555217223,2.561886141,2.557649572,2.537719056,2.498279084,2.473509875,2.436921931,2.390538697,2.336471859,2.276227307,2.257681508,2.238351691,2.216819331,2.190858224,2.160864456,2.137779868,2.111121061,2.089118665,2.082362594,2.095850111,2.135298501,2.186760733,2.24694046,2.312095315,
