Location,Longitude,Latitude
Afghanistan  ,66.2385139,33.7680065
Albania  ,19.9999619,41.000028
Algeria  ,2.9999825,28.0000272
Andorra  ,1.5732033,42.5407167
Angola  ,17.5691241,-11.8775768
Antigua and Barbuda  ,-61.9554608,17.2234721
Argentina  ,-64.9672817,-34.9964963
Armenia  ,44.6736646,40.7696272
Australia  ,134.755,-24.7761086
Australia Australian Capital Territory ,149.0026942,-35.4883502
Australia New South Wales ,147.2869493,-31.8759835
Australia Northern Territory ,133.2303375,-19.8516101
Australia Queensland ,144.5844903,-22.1646782
Australia South Australia ,135.6301212,-30.5343665
Australia Tasmania ,146.6366887,-42.035067
Australia Victoria ,144.6780052,-36.5986096
Australia Western Australia ,121.0187246,-25.2303005
Austria  ,13.199959,47.2000338
Azerbaijan  ,47.7872508,40.3936294
Bahamas  ,-78.0000547,24.7736546
Bahrain  ,50.5344606,26.1551249
Bangladesh  ,90.2932426,24.4768783
Barbados  ,-59.5250305,13.1500331
Belarus  ,27.6971358,53.4250605
Belgium  ,4.6667145,50.6402809
Belize  ,-88.7600927,16.8259793
Benin  ,2.2584408,9.5293472
Bhutan  ,90.5119273,27.549511
Bolivia  ,-64.9912286,-17.0568696
Bosnia and Herzegovina  ,17.5961467,44.3053476
Botswana  ,24.5928742,-23.1681782
Brazil  ,-53.2,-10.3333333
Brunei  ,114.5653908,4.4137155
Bulgaria  ,25.4856617,42.6073975
Burkina Faso  ,-1.6880314,12.0753083
Burma  ,95.9999652,17.1750495
Burundi  ,29.8870575,-3.3634357
Cabo Verde  ,-24.0083947,16.0000552
Cambodia  ,104.869423,13.5066394
Cameroon  ,13.1535811,4.6125522
Canada  ,-107.9917071,61.0666922
Canada Alberta ,-115.002136,55.001251
Canada British Columbia ,-125.002441,55.001251
Canada Manitoba ,-97.001038,55.001251
Canada New Brunswick ,-66.750183,46.500283
Canada Newfoundland and Labrador ,-61.2295532,53.8217327
Canada Northwest Territories ,-118,65.0000004
Canada Nova Scotia ,-63.1653789,45.1960403
Canada Ontario ,-86.000977,50.000678
Canada Prince Edward Island ,-63.1466676,46.3355508
Canada Quebec ,-71.8258668,52.4760892
Canada Saskatchewan ,-106.1412243,55.5321257
Canada Yukon ,-136.002502,63.000147
Central African Republic  ,19.9981227,7.0323598
Chad  ,19.0156172,15.6134137
Chile  ,-71.3187697,-31.7613365
China  ,104.999927,35.000074
China Anhui ,117,32
China Beijing ,-104.900937,39.6566257
China Chongqing ,107.8748712,30.05518
China Fujian ,117.842778,26.5450001
China Gansu ,101.9999999,38.0000001
China Guangdong ,113.1982688,23.1357694
China Guangxi ,13.2435036,-8.8191074
China Guizhou ,107,27
China Hainan ,109.5999999,19.2000001
China Hebei ,116,39.0000001
China Heilongjiang ,127.999992,48.0000047
China Henan ,113.9999999,34.0000001
China Hong Kong ,114.1849161,22.350627
China Hubei ,112.8783222,31.15172525
China Hunan ,111.7487063,27.6662087
China Inner Mongolia ,114.3251664,43.2443242
China Jiangsu ,119.9999999,33.0000001
China Jiangxi ,116,28
China Jilin ,125.9816054,42.9995032
China Liaoning ,122.9955469,40.9975197
China Macau ,113.5514142,22.1757605
